Company Name,Income in $ million,U.S. Tax Rate Paid,Effective Tax Rate
Consolidated Edison,1662,3,36
QUALCOMM Inc,5687,3,20
TE Connectivity Ltd.,1629,3,23
Kimco Realty Corp,80,3,24
Occidental Petroleum,10459,3,40
FMC Corp,551,3,25
Western Union Co,1275,3,9
Time Warner Cable Inc,2462,3,32
American Tower Corp A,507,3,25
Western Digital Corp,780,3,7
Lincoln National Corp,599,3,50
Baxter Intl Inc,2809,3,20
Sara Lee Corp,487,3,31
Johnson Controls Inc,2111,3,18
Avery Dennison Corp,233,3,34
Altera Corp,849,3,9
DTE Energy,987,3,27
Coca-Cola Co,11439,3,25
PPL Corp,2201,2,31
Pepco Holdings Inc,409,2,36
Dow Chemical,1644,2,34
Philip Morris International,12532,2,29
Exxon Mobil Corp,73257,2,42
Molson Coors Brewing Co B,774,2,13
Newfield Exploration Co,840,2,36
Microchip Technology Inc,380,2,11
Covidien Plc,2216,2,15
Kimberly-Clark,2183,2,30
State Street Corp,2536,2,24
Verizon Communications,10483,2,3
Crown Castle Intl Corp,180,2,5
Teradyne Inc,219,2,Negative
Lexmark International Inc,414,2,22
Mattel Inc,971,2,21
Southern,3487,2,35
Noble Energy Inc,715,2,37
Huntington Bancshares (OH),707,1,23
Allstate Corp,960,1,18
Prudential Financial Inc,5117,1,31
Intl Business Machines Corp,21003,1,25
Regions Financial Corp,161,1,Negative
Southwest Airlines Co,323,1,45
Nvidia Corp,663,1,12
Alcoa Inc,1063,1,24
Air Products & Chemicals Inc,1661,1,25
American Electric Power,2367,1,35
Apache Corp,8093,1,43
Intl Flavors & Fragrances,374,1,29
Morgan Stanley,5939,1,22
Ryder System Inc,279,1,39
CMS Energy,354,1,17
Northeast Utilities,571,1,30
Marsh & McLennan Companies,1404,0,30
Chesapeake Energy Corp,2880,0,39
Southwestern Energy Co,1051,0,39
"Motorola Solutions, Inc",738,0,Negative
Xcel Energy,1310,0,36
Spectra Energy Corp,1744,0,28
Priceline.com Inc,1368,0,23
Interpublic Group Cos,738,0,26
PACCAR Inc,1507,0,31
Exelon Corp,3952,0,37
Varian Medical Systems Inc,589,0,31
AES Corp,2179,0,29
AvalonBay Communities Inc,441,0,0
Goodyear Tire & Rubber Co,618,0,33
Leucadia National Corp (NY),681,0,40
Masco Corp,(472),0,Negative
Metropcs Communications Inc,480,0,37
Micron Technology Inc,551,0,37
Pioneer Natural Resources,656,0,30
Plum Creek Timber Co,192,0,Negative
Range Resources Corp,78,0,45
TECO Energy Inc,427,0,36
Tenet Healthcare,161,0,38
Wynn Resorts Ltd,806,0,2
Dean Foods Co,(2053),0,Negative
Boston Properties Inc,314,Tax-Free REIT,Tax-Free REIT
Equity Residential,81,Tax-Free REIT,Tax-Free REIT
